PlantID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
p-1073-1,-12.147437656265636,-3.6773852478959475,-4.059255745706696,-3.4939497087125004,-3.196333004896745,-4.727338706402445,-4.8165168625592845,-2.2828233273817644,-10.953928949341307,0.6025484964493811
p-1074-2,-11.693133561287548,-1.701086393395942,-10.10637656488965,3.8464438102746628,1.4045254357751757,19.113577832537597,-9.273220152005676,9.016088587112897,-4.950103303820032,-5.446267851887686
p-1075-1,-11.86743259075837,-5.313771824517721,-8.969040028123917,2.0644217014902035,0.03283379337771507,-6.397033449795504,-2.161315924307187,-1.8709539338893864,-3.0594325593002405,3.3542214105135426
p-1076-1,22.132791273765868,-29.77057472181902,-4.300902590442982,-8.338021912411355,-13.575941693622106,2.3539266541573665,5.022155379120859,-7.035665932074561,1.199672519666956,-1.477814108724293
p-1077-1,22.617196605544294,-30.088333035734586,-4.356394746621899,-8.450037730314783,-13.832109204496577,2.498800636594161,5.046383036002156,-7.253920387123292,1.5924668074724126,-1.7801988210391448
p-1078-1,-12.442785704381777,-3.6893627983575996,-4.337714106000547,-3.128635299905197,-2.907930141645255,-4.040323015439215,-4.925527454364155,-1.67411962548897,-11.229259861631983,1.2101485963139362
p-1079-1,-22.22394994935134,-2.127772606643529,-4.054056716649011,15.991656414984535,2.910858836302227,-17.39337064459982,4.316793328975299,-9.69693557448145,48.48245275660302,-1.998190004059254
p-108-1,-11.193069661930645,-3.8192117068442193,-8.318579453056987,-0.7026116148202709,-3.841436310593218,-4.442249911651965,-3.487111001500158,-1.6352229731568815,-9.633398007743011,1.7966926518168929
p-1080-1,-14.34106834769203,-6.33767567599897,-1.76175597525382,17.592454894233136,-1.9088679910063135,-20.650794066318728,-1.7130644091249176,-11.707395575359769,48.56913907427912,-28.77582693838945
p-1081-1,-10.4254334389494,-6.507516328332034,-6.250746564210981,1.1960745452108859,-4.291587471345762,-3.984683363961001,1.1625057387641569,-2.478860429981782,-7.724071177391262,0.734652718809318
p-1082-1,-6.810809185634347,-6.737121706515475,-4.368214840298232,1.345110633170362,-4.180971162282514,1.3024221440450086,3.685402428657545,-0.173796244664388,-9.11560000257508,3.9886202474476886
p-1083-1,-14.484105363440253,-4.89424723194685,-8.104844469476664,6.424296139480809,-1.5252461497503194,-12.576791412007339,-3.555284514473203,-8.125319760948257,22.02816049026125,-6.004062844351901
p-1084-1,-12.055953490462839,-2.081149658674404,-13.37462900660477,7.425469168878494,8.508366414519198,42.736783709060944,-13.036577345420383,15.774419042833214,-0.26137623630069434,-7.58692369078195
p-1085-1,-11.206106429943343,-5.296060712829559,-8.888402546287272,-0.2696045389170932,-3.2257681442725885,-6.0008205285853125,-1.7466084932284822,1.4724351793734152,-11.240183121785583,0.9076592805050979
p-1086-1,-11.222107256453283,-5.263188864841208,-8.859905903298683,-0.14041069131783013,-3.0791955103405897,-5.9835265322467865,-1.850551702088557,1.3550492809668517,-10.951283756810135,1.3020342543474928
p-1087-1,-2.1814395038014966,8.843932460801815,-10.94388528610121,-1.571784481089217,-1.494138254859955,-6.140323808742201,-1.3073081496104553,-3.9040011907674836,-10.74661782784155,1.009473004679071
p-1089-1,17.845435195560196,-23.0044286436404,24.442293163265866,-20.3432297392541,-11.45351960882616,5.417035949535078,-0.09201571254182307,-3.2834989545096813,-1.9590770391164347,-5.99370093534193
p-109-1,-5.364677690906485,-8.785317257346948,-9.438039264881263,-10.020580245895443,7.399930590323782,-5.167118429766276,14.047756164614427,-9.253105550556032,-6.29787599786831,-4.844723447826859
p-1091-1,-13.670611117372808,-4.6318133504627115,-7.769768248484168,9.066685520664178,4.524656684808919,-8.628039019504286,-3.9965502366347567,-3.7887803540128324,22.231538941632888,1.9739187314118272
p-1092-1,-12.475529985830956,-2.088916888537979,-7.155346756484298,1.1643320705318918,-4.427751752233339,-5.494462722141257,0.7082778146420783,-1.9363933888579525,-7.280189889826719,0.7815914432610318
p-1093-1,-14.304972247440812,-3.9113901508816626,-5.1122745137017525,1.960814067321253,-5.467059869597986,-2.7394807055980457,5.421717130711214,-0.61139287916053,-10.660338483501006,3.1916146380957455
p-1094-1,-11.317482557824826,12.513980641146533,30.57936315836302,-27.598058508934518,-3.1638087886374318,12.28763808936064,-27.121621849052456,-2.7660040609444816,-6.527391729149108,3.9341006468379556
p-1095-1,-13.3247167316672,-4.62287464261578,-8.402595558389226,1.5612617274762104,-2.774460438904863,-8.343856666938423,-3.9931886471498763,-3.6360235552721,-2.368510046811717,-0.9851424840301297
p-1096-2,-9.336811068865156,-3.6171911699880335,25.99509882535548,-12.834151752655238,3.985267538678919,-5.232494021072885,-22.14962881375085,-3.0045490255957414,8.739746020535755,5.460575441317079
p-1097-1,-9.673075123207129,1.138471290133719,42.45207448427872,-31.820977408310966,-2.044099147377273,0.13224162504093076,-21.095715940112758,-3.336393851950202,-5.942745526828106,-1.665465410259733
p-1098-1,-4.052411629115729,1.1603474253989763,-2.37868071089008,14.291483058450641,-0.6285540077207386,-11.003366238780549,-6.262134698859664,-3.6201818470279585,10.808400127554417,-5.837043080707785
p-1099-1,23.88421460786724,-32.029568767692744,-0.7993900709601598,0.8382133814527686,2.6617133978179055,10.704190967343198,-10.480521149844561,-1.2534888253967464,16.624512558535276,76.19046042255519
p-11-1,-12.670424592352648,-2.4889095985691414,-0.38344081309292277,-3.531114158192894,-2.7397024581942944,-6.042134167373023,-6.606890210676122,-3.085958273407591,-4.168558797811603,-2.7878582433800845
p-110-2,-21.715120562452846,2.0030434492114377,11.162049871165499,9.358950431309344,-12.858958924898296,7.044501901132927,33.81657359083521,-0.846073065473334,-11.122722522791628,4.274747961876872
p-1100-1,-12.373477537010725,-5.1958573389798595,-8.48181133205495,1.662998385066568,-3.2021433200614684,-7.857303551272814,-3.4320624329079616,-3.6755909217677045,-3.140660634571255,-2.390427599647875
p-1101-1,-18.442528837924346,-0.9379775958896713,-6.997632079771488,11.282685286506226,3.3889226581791188,-14.934886899405956,-5.82160665278064,-10.005953757702592,35.01209319264575,-0.9454192529213482
